worker,start_date,years_worked
Szymon Domino (ernest40),2023-03-25,2
Szymon Dorobek (xglonek),2022-01-08,3
Szymon Dorociak (brachaczekarkadiusz),2023-11-29,2
Szymon Dorociak (tadeuszsaternus),2023-04-22,2
Szymon Drewniok (jakub541),2022-11-07,3
Szymon Droś (aptok),2022-06-20,3
Szymon Droździel (rstrzelczak),2022-06-16,3
Szymon Drygas (garczarekkonrad),2024-10-05,1
Szymon Dudkowiak (patrykfac),2022-09-29,3
Szymon Dudziec (ziecikleonard),2023-06-19,2
Szymon Dulas (anastazjaulewicz),2020-11-17,5
Szymon Dumała (wkrokosz),2023-03-11,2
Szymon Dumin (brejniak),2022-04-20,3
Szymon Durczok (ykozieja),2021-12-27,3
Szymon Durma (wszumna),2023-11-23,2
Szymon Dziarmaga (gilewiczdamian),2024-07-16,1
Szymon Dziedzina (bronkaanita),2022-05-17,3
Szymon Fac (radoslaw471),2022-11-25,3
Szymon Feluś (krollida),2022-01-31,3
Szymon Filiks (mstiller1),2024-09-06,1
Szymon Fiołek (xkurzyna),2022-11-22,3
Szymon Foremniak (ernestdownar),2021-03-29,4
Szymon Fornalik (oskar891),2023-02-10,2
Szymon Fornalik (wlukasiuk1),2023-11-29,2
Szymon Fraszczyk (tadeusz422),2023-09-16,2
Szymon Fronczyk (mateusz87),2023-12-18,1
Szymon Frukacz (esolich),2020-12-09,5
Szymon Frydrychowicz (szymon891),2024-02-05,1
Szymon Fura (uskrobek),2024-09-25,1
Szymon Furgała (jozefsmagala),2021-03-15,4
Szymon Fydrych (kalinakrefta),2022-09-24,3
Szymon Gadzała (albertsaj),2023-12-17,1
Szymon Garczarek (maciejtrepka),2023-06-17,2
Szymon Gasik (tbluszcz),2022-02-21,3
Szymon Gasz (kornel31),2021-03-29,4
Szymon Gawliczek (krystian901),2021-11-12,4
Szymon Gąbka (janina751),2022-04-20,3
Szymon Gemza (zmarzlystefan),2021-04-28,4
Szymon Gierek (zwaranikodem),2022-06-20,3
Szymon Glanc (adrianplodzien),2023-09-18,2
Szymon Glanc (marcinmartynowicz),2022-07-30,3
Szymon Gogacz (anitabulanda),2022-09-07,3
Szymon Goj (zlangiewicz),2022-02-24,3
Szymon Gołoś (mariusz042),2021-07-14,4
Szymon Gorol (arkadiusz222),2021-11-15,4
Szymon Gregorczuk (tymonposluszny),2022-01-26,3
Szymon Gregorowicz (gabryszakalex),2022-10-04,3
Szymon Groń (krystiangreszta),2020-12-14,4
Szymon Groth (qnitek1),2024-07-08,1
Szymon Gruchot (glowienkajan),2023-11-10,2
Szymon Grunt (ewelinatoloczko),2023-06-25,2
Szymon Grunt (kajetan19),2024-03-22,1
Szymon Grygorowicz (monika487),2021-05-17,4
Szymon Grzebyk (robert011),2022-01-04,3
Szymon Hak (ljaremek),2022-08-12,3
Szymon Hamrol (bartek831),2021-07-02,4
Szymon Hanzel (ewa07),2022-11-16,3
Szymon Haponiuk (lkordus1),2021-03-08,4
Szymon Heba (rzacaantoni),2024-05-13,1
Szymon Herba (gaja96),2024-09-30,1
Szymon Hirsch (ssmoter1),2022-02-13,3
Szymon Idzi (kanarekborys),2022-08-17,3
Szymon Ignatiuk (drejtomasz),2021-12-14,3
Szymon Irzyk (apoloniadomon),2023-12-02,2
Szymon Iwańczyk (apoloniakandzia),2024-04-19,1
Szymon Jagiełka (hkonstanty),2022-01-07,3
Szymon Jagieło (makswrochna),2022-09-21,3
Szymon Jakoniuk (bcetera),2022-02-17,3
Szymon Jakubiuk (dgradek),2021-03-05,4
Szymon Jałowiec (angelikagleba),2024-02-21,1
Szymon Jama (elzbietalament),2024-04-10,1
Szymon Janc (kacperbuszkiewicz),2020-12-04,5
Szymon Janczarek (jerzywawrzyk),2024-10-30,1
Szymon Janic (oskarkozon),2024-06-23,1
Szymon Januszewicz (doktorrozalia),2021-04-29,4
Szymon Januszewicz (nelacieciwa),2024-04-27,1
Szymon Jarczak (pszymanik),2022-01-27,3
Szymon Jaremek (csamoraj),2024-06-26,1
Szymon Jargieło (klarahawrylak),2021-06-27,4
Szymon Jaśkowiec (aleksander591),2023-04-23,2
Szymon Jeszke (michalkierat),2021-06-21,4
Szymon Jeżyna (janpetryk),2023-07-20,2
Szymon Kajdas (krekoragaja),2021-08-14,4
Szymon Kajstura (hstupak),2024-05-19,1
Szymon Kamieniak (ida282),2021-08-23,4
Szymon Kanik (xsprawka),2021-10-06,4
Szymon Kapka (stanislaw662),2021-11-26,4
Szymon Karpeta (dwojslaw),2022-02-17,3
Szymon Karsznia (frasryszard),2023-07-03,2
Szymon Katana (wkanik),2022-06-18,3
Szymon Kawula (ychowaniak),2022-01-25,3
Szymon Kazimierczyk (nhajduga),2023-12-12,1
Szymon Kazior (waclawczykeryk),2024-07-27,1
Szymon Kaźmierczyk (tymoteusz89),2023-06-10,2
Szymon Kempka (mateuszbudkiewicz),2021-05-22,4
Szymon Kempny (przemyslaw32),2024-11-08,1
Szymon Kędziorek (julitaholysz),2024-05-22,1
Szymon Kędziorek (mudlaffbartek),2024-08-09,1
Szymon Kiliszek (maksymiliandudala),2023-07-28,2
Szymon Kiszczak (ymaciocha),2021-10-30,4
Szymon Kleina (apacia),2021-02-21,4
Szymon Klemczak (kamila022),2023-11-24,2
Szymon Klinger (cimochkrystian),2021-04-04,4
Szymon Klorek (dukataleksander),2021-03-23,4
Szymon Klorek (graboseliza),2021-10-26,4
Szymon Kluj (kempnyanita),2022-11-07,3
Szymon Kobos (uszkoda),2024-01-20,1
Szymon Kocurek (okiliszek),2023-10-20,2
Szymon Kohut (ggolda),2024-05-20,1
Szymon Kołak (nela722),2021-09-18,4
Szymon Koman (ryszard18),2023-04-23,2
Szymon Kopyt (wojtalikfryderyk),2022-06-06,3
Szymon Kosak (xklosek),2024-04-10,1
Szymon Kościukiewicz (apolonia602),2022-08-12,3
Szymon Kość (kacperlachut),2024-04-19,1
Szymon Kowara (jbylina),2023-06-18,2
Szymon Kozar (gzimolag),2023-07-13,2
Szymon Koziatek (ewelinatywoniuk),2022-10-29,3
Szymon Kraszkiewicz (konrad221),2021-03-12,4
Szymon Krauz (tmazik),2022-11-16,3
Szymon Kręgiel (bianka10),2022-11-05,3
Szymon Królczyk (fryderykgradziel),2023-04-03,2
Szymon Krzosek (mateusz541),2024-07-01,1
Szymon Krzywonos (twyroslak),2022-01-26,3
Szymon Księżak (tzaborek),2023-12-30,1
Szymon Kuciel (radoslawkajdan),2022-10-31,3
Szymon Kukawka (oliwier772),2021-02-11,4
Szymon Kukieła (fczlonka),2024-09-03,1
Szymon Kulczak (tobiasz72),2020-12-21,4
Szymon Kupaj (sandra89),2021-03-20,4
Szymon Kurda (qkopytko),2022-08-27,3
Szymon Kursa (maciejwaloszczyk),2021-11-08,4
Szymon Kut (siewertprzemyslaw),2021-07-20,4
Szymon Kutera (klorekradoslaw),2021-12-27,3
Szymon Kwinta (anna-maria24),2022-08-09,3
Szymon Laskus (frymusadrian),2023-01-07,2
Szymon Lemanowicz (jpacocha),2024-04-06,1
Szymon Lemke (dominik182),2024-02-11,1
Szymon Lepka (hmatusewicz),2024-10-12,1
Szymon Lesik (ryszardzwara),2020-12-28,4
Szymon Leszkiewicz (gorgolada),2021-07-26,4
Szymon Lindner (alanlys),2022-12-27,2
Szymon Lindner (nelaroch),2023-07-08,2
Szymon Lisoń (feliniakroksana),2024-10-10,1
Szymon Liss (duniecoskar),2023-09-10,2
Szymon Liss (wojczukkarina),2021-09-30,4
Szymon Ludwisiak (ernestragus),2023-02-26,2
Szymon Lukas (filip70),2021-08-31,4
Szymon Łabaj (gustaw73),2024-09-22,1
Szymon Łapaj (slubera),2023-02-04,2
Szymon Łasica (mariannadytko),2022-06-01,3
Szymon Ławniczek (dorota482),2021-10-20,4
Szymon Łuckiewicz (hziecik),2022-02-23,3
Szymon Łuczka (jacekkurcz),2021-02-10,4
Szymon Łukasz (cmleczek),2024-03-21,1
Szymon Łyczak (maurycy321),2022-03-22,3
Szymon Macheta (tomaliknataniel),2021-12-11,3
Szymon Majdak (mmachowiak1),2022-02-24,3
Szymon Majsterek (kurantdamian),2023-05-25,2
Szymon Makulec (olafzagula),2021-01-27,4
Szymon Malarczyk (vwakula),2023-01-24,2
Szymon Małyszek (konrad53),2024-05-12,1
Szymon Maras (kubiaczykantoni),2024-01-06,1
Szymon Marat (michalkarczmarek),2023-06-16,2
Szymon Margol (apolonia83),2023-01-11,2
Szymon Maron (wpesta),2023-08-09,2
Szymon Masny (maurycy191),2022-02-25,3
Szymon Maszkiewicz (lukasz191),2024-06-23,1
Szymon Maszota (kobzajozef),2022-06-25,3
Szymon Matyszczak (wowraryszard),2023-10-31,2
Szymon Mazek (leonrozmiarek),2024-10-27,1
Szymon Mazepa (milosz904),2022-09-18,3
Szymon Mądrzak (kalinaroda),2024-06-19,1
Szymon Megger (wbrygola1),2024-06-20,1
Szymon Meissner (iberdzik),2023-05-20,2
Szymon Mejer (adafolta),2021-03-11,4
Szymon Michalczak (ruszelaleksander),2022-12-24,2
Szymon Michalkiewicz (wbudner),2021-05-30,4
Szymon Mieszała (stefan601),2021-07-19,4
Szymon Migda (wminkiewicz),2023-06-27,2
Szymon Miksza (rozaliamatus),2024-11-01,1
Szymon Misiaszek (marika591),2024-01-27,1
Szymon Misiurek (rajtarmarika),2022-09-30,3
Szymon Młyńczak (wgerlach),2021-08-28,4
Szymon Mokwa (gaja131),2023-03-17,2
Szymon Mol (oliwierdorociak),2022-08-02,3
Szymon Motak (fedykkonrad),2022-03-08,3
Szymon Mrózek (wislaaniela),2022-11-15,3
Szymon Muc (lszpyrka),2021-03-04,4
Szymon Muniak (warmuzjeremi),2023-11-13,2
Szymon Mydlak (cyganikinga),2021-06-23,4
Szymon Myszk (dominik42),2024-08-21,1
Szymon Nasiadka (kornelia541),2021-10-15,4
Szymon Nastały (morekida),2024-01-23,1
Szymon Nestorowicz (krystian761),2024-06-18,1
Szymon Niechciał (anitazapasnik),2021-05-09,4
Szymon Nocek (nlepek),2021-11-09,4
Szymon Ochnio (oskarproch),2021-06-22,4
Szymon Oczkowicz (roksana38),2022-05-14,3
Szymon Olko (tdebniak),2024-08-12,1
Szymon Olma (aleksfura),2024-03-27,1
Szymon Osipowicz (monika332),2021-03-16,4
Szymon Oskroba (ebujas),2023-04-08,2
Szymon Ostafin (wojcikfryderyk),2021-02-13,4
Szymon Ostapiuk (adrian732),2022-03-16,3
Szymon Oszust (linkemichal),2024-10-22,1
Szymon Otremba (sylwia41),2021-04-19,4
Szymon Pacholczak (kubinaewa),2023-01-06,2
Szymon Pachuta (bartek15),2023-01-02,2
Szymon Pakosz (fbeck),2023-12-09,2
Szymon Palak (ewalenciak),2023-05-04,2
Szymon Palonek (ymatejuk),2021-11-11,4
Szymon Pałac (ftrepka),2024-09-22,1
Szymon Paprotny (daniel30),2023-10-10,2
Szymon Para (sandra422),2022-12-09,3
Szymon Patyna (tadeuszulrych),2024-06-25,1
Szymon Pawełkiewicz (hcabala2),2024-11-02,1
Szymon Peda (dziduchmarcelina),2023-02-18,2
Szymon Pędzik (andrzejfidos),2023-06-22,2
Szymon Piaseczna (anita451),2022-07-31,3
Szymon Pieczarka (franciszekjachimczyk),2021-10-04,4
Szymon Piekacz (wolanczykmarcin),2022-03-23,3
Szymon Piekara (adrianzbik),2024-05-01,1
Szymon Pietrasz (karol59),2023-08-14,2
Szymon Pietryga (marianna94),2021-06-26,4
Szymon Piłka (nwalencik),2024-05-05,1
Szymon Pleśniak (apolonia603),2021-09-06,4
Szymon Podsiadła (anita043),2023-02-12,2
Szymon Pokrzywa (suszkaanna-maria),2021-01-14,4
Szymon Pokusa (krystian68),2022-08-12,3
Szymon Polaszek (aoleskiewicz1),2024-05-01,1
Szymon Poreda (ernestwaloszek),2021-06-26,4
Szymon Postawa (nierodanicole),2022-10-16,3
Szymon Preuss (jozef88),2022-12-05,3
Szymon Proć (aleksander16),2022-01-08,3
Szymon Prokopczyk (lukasz301),2020-11-22,5
Szymon Prokurat (dziadkowiecmichal),2023-02-21,2
Szymon Przeklasa (klara412),2022-01-19,3
Szymon Przerwa (mateusz31),2023-10-13,2
Szymon Przewłoka (przemyslawpolicht),2024-11-09,1
Szymon Przewłoka (towarekaurelia),2023-04-01,2
Szymon Pyć (wawrzynkiewiczanastazja),2023-03-08,2
Szymon Radziewicz (kuchciakjulianna),2022-12-26,2
Szymon Rajczak (liwia06),2021-02-22,4
Szymon Rduch (lporzucek),2021-02-26,4
Szymon Robaszkiewicz (tymoteusz951),2022-11-30,3
Szymon Rusiniak (sarakowara),2024-03-05,1
Szymon Ruszczak (jedrzej431),2023-11-17,2
Szymon Ruszel (vkondej1),2022-06-27,3
Szymon Rychert (rafal492),2022-10-24,3
Szymon Rymarz (andrzej98),2022-10-27,3
Szymon Rząca (goskahubert),2021-11-05,4
Szymon Rząd (radoslawjachimczak),2024-08-01,1
Szymon Rzeźniczek (frukaczmarcel),2024-04-07,1
Szymon Rzeźniczek (trepczyknikodem1),2023-04-16,2
Szymon Salomon (michelhubert),2024-08-28,1
Szymon Sałuda (yzoladkiewicz),2023-06-01,2
Szymon Schwarz (kamilabaldys),2022-12-11,2
Szymon Siedlik (soniawieclawek),2024-04-16,1
Szymon Siemion (cyprianmanista),2022-12-04,3
Szymon Simon (morycjan),2024-07-04,1
Szymon Skrobot (ymeler),2023-09-10,2
Szymon Skwira (sledzikalex),2023-10-16,2
Szymon Skwira (wiktor532),2024-05-16,1
Szymon Słoka (niewolasara),2024-01-22,1
Szymon Słomiany (drobiszmateusz),2021-03-14,4
Szymon Słupik (kkalwak),2024-05-24,1
Szymon Smykała (filipbaczkiewicz),2024-01-13,1
Szymon Sobieszczyk (adagajcy),2022-09-26,3
Szymon Sobiło (burchardlidia),2021-12-11,3
Szymon Solnica (korneliatrzmiel),2021-11-23,4
Szymon Spadło (pawelkrzosek),2021-06-21,4
Szymon Stanuch (marcin092),2024-11-03,1
Szymon Staręga (ryczkoinga),2024-07-16,1
Szymon Stoch (eryk453),2023-04-09,2
Szymon Strzyż (karolniksa),2023-11-11,2
Szymon Stypka (stefan24),2021-01-13,4
Szymon Supeł (natanielciastek),2023-12-22,1
Szymon Sydor (lukasz73),2022-11-25,3
Szymon Sysło (scierpisz1),2023-06-12,2
Szymon Szabla (jozefbalcewicz),2023-03-01,2
Szymon Szarzec (ghnat),2022-08-24,3
Szymon Szczechowicz (eryk671),2021-01-28,4
Szymon Szczot (roksana122),2021-02-16,4
Szymon Szemraj (alan282),2021-12-16,3
Szymon Sztuczka (justyna93),2023-09-22,2
Szymon Szumacher (ksawerybondaruk),2021-09-08,4
Szymon Szumiec (baumgartliwia),2023-11-23,2
Szymon Szumiło (zjedra),2024-05-04,1
Szymon Szyca (hmachon),2021-06-21,4
Szymon Szyjka (kalina15),2021-05-19,4
Szymon Szymonik (mlynczykelzbieta),2022-11-27,3
Szymon Szymonik (mzachwieja),2024-11-03,1
Szymon Szymula (elzbieta862),2022-08-07,3
Szymon Ślipek (jerzy412),2024-03-28,1
Szymon Śnieg (olaf06),2021-12-27,3
Szymon Świstek (bianka152),2021-11-16,4
Szymon Tabak (daniel081),2022-12-07,3
Szymon Tekieli (niklewiczkajetan),2021-04-28,4
Szymon Tłuczek (zgwardiak),2024-11-01,1
Szymon Tołoczko (galezaignacy),2021-04-13,4
Szymon Tryc (zwawryniuk),2022-04-07,3
Szymon Tyka (pacygakonstanty),2020-11-22,5
Szymon Tytko (grygakaja),2024-05-06,1
Szymon Wacław (gzylmikolaj),2022-08-30,3
Szymon Wacławczyk (pmalesza),2024-10-19,1
Szymon Wajdzik (miloszslowiak),2022-05-14,3
Szymon Wasążnik (klara231),2021-01-11,4
Szymon Wawrzynkiewicz (iwo58),2021-03-28,4
Szymon Wesoła (grzegorzszmalec),2023-11-03,2
Szymon Wężyk (antoni83),2023-03-13,2
Szymon Wężyk (julian924),2022-11-21,3
Szymon Wielgat (emilstraszak),2023-11-11,2
Szymon Wiertel (marikawojtaszak),2020-12-06,5
Szymon Wiertel (shajdukiewicz),2021-11-18,4
Szymon Wierzchoń (angelika37),2022-07-11,3
Szymon Więcławek (damianwolanczyk),2022-06-12,3
Szymon Wijata (anastazjazawiasa),2021-09-16,4
Szymon Wilkos (ubejger),2022-05-03,3
Szymon Wiszowaty (michelkaja),2023-07-09,2
Szymon Witos (damian901),2023-11-29,2
Szymon Wons (agnieszkapiersa),2023-06-30,2
Szymon Wośko (juliusz35),2024-08-28,1
Szymon Wydrych (gustaw92),2023-06-27,2
Szymon Wypchło (kleinakrzysztof),2022-05-30,3
Szymon Wywiał (ghajduga),2023-07-13,2
Szymon Zackiewicz (jedrakkrzysztof),2024-04-05,1
Szymon Zadka (lampaewelina),2024-05-03,1
Szymon Zbiciak (isiembab1),2020-12-21,4
Szymon Zbiciak (monikasamiec),2023-06-20,2
Szymon Zera (cyprian42),2021-09-20,4
Szymon Zimoląg (vsurdel),2021-11-26,4
Szymon Zioła (xkempka),2023-11-22,2
Tadeusz Adamaszek (jacekurynowicz),2023-05-09,2
Tadeusz Albin (pigulaaleksander1),2020-12-08,5
Tadeusz Ambrozik (krzysztof44),2023-12-11,1
Tadeusz Andrukiewicz (mikolaj211),2023-03-05,2
Tadeusz Andryszczyk (inga121),2022-01-24,3
Tadeusz Andziak (ryszard975),2021-09-20,4
Tadeusz Antoń (kjasina),2021-07-12,4
Tadeusz Armatys (kasperkarol),2024-02-26,1
Tadeusz Banyś (jozeffolta),2020-11-30,5
Tadeusz Baranowicz (kolarzsebastian),2022-03-23,3
Tadeusz Bartuś (nbak),2023-05-30,2
Tadeusz Baszak (markokonrad),2021-06-26,4
Tadeusz Bąbel (itabis),2022-07-12,3
Tadeusz Becker (ida821),2023-06-05,2
Tadeusz Becker (vkliszcz),2022-12-01,3
Tadeusz Bernatek (mcukier),2023-04-26,2
Tadeusz Bicz (szatanikmaksymilian),2021-09-06,4
Tadeusz Bilik (csiembab),2022-07-30,3
Tadeusz Blaut (jakubtrabka),2022-04-25,3
Tadeusz Błażejczak (toloczkoanna-maria),2022-05-26,3
Tadeusz Bobik (polaszekwitold),2023-11-16,2
Tadeusz Bochnia (kzebik),2022-11-30,3
Tadeusz Bork (olgierd04),2024-04-27,1
Tadeusz Brańka (szymonleoniuk),2021-08-28,4
Tadeusz Breś (delektaradoslaw1),2024-05-03,1
Tadeusz Brojek (tcyron),2024-05-26,1
Tadeusz Brząkała (tadeuszhus),2021-08-25,4
Tadeusz Buczma (jerzy37),2022-01-25,3
Tadeusz Budych (dariuszmoniuszko),2021-01-26,4
Tadeusz Buk (sara091),2023-10-16,2
Tadeusz Burnat (jaceklemanowicz),2021-11-28,4
Tadeusz Buza (kosznikapolonia),2021-06-07,4
Tadeusz Ceran (zimolagtobiasz),2022-09-21,3
Tadeusz Cetera (ernestfiedorczuk),2022-02-22,3
Tadeusz Ceynowa (mariannaschwarz),2022-03-12,3
Tadeusz Chojak (losiewiczdominik),2021-12-13,3
Tadeusz Chojna (swachanatasza),2021-05-18,4
Tadeusz Ciarka (capalaadam),2022-05-25,3
Tadeusz Cieloch (ernstroza),2022-12-17,2
Tadeusz Cierpisz (pawel13),2021-05-20,4
Tadeusz Ciesielczyk (mariuszjasko),2024-04-06,1
Tadeusz Cybul (gwykret1),2022-10-20,3
Tadeusz Czak (ksawery71),2024-09-22,1
Tadeusz Częścik (jozefsobkow),2024-04-25,1
Tadeusz Danieluk (heinrichewelina),2023-03-22,2
Tadeusz Danieluk (iwolinke),2024-10-23,1
Tadeusz Danilczuk (sfrukacz),2024-05-02,1
Tadeusz Darłak (krzysztof652),2023-07-05,2
Tadeusz Dmoch (sylwia802),2022-10-12,3
Tadeusz Domoń (xchruszcz),2023-04-05,2
Tadeusz Drgas (sebastian61),2023-10-23,2
Tadeusz Drobek (aniela33),2023-10-25,2
Tadeusz Drywa (wwszola),2024-11-10,1
Tadeusz Dudzicz (gzelazek1),2024-03-05,1
Tadeusz Dybał (fryderykdytrych),2022-12-24,2
Tadeusz Działa (bprygiel),2021-09-09,4
Tadeusz Dziduch (rdyja),2021-01-30,4
Tadeusz Fedorczyk (chennig),2021-04-02,4
Tadeusz Fiedler (kurachblanka),2024-09-27,1
Tadeusz Figat (posmykkornelia),2022-06-07,3
Tadeusz Figat (urszulamordal),2021-07-23,4
Tadeusz Fijoł (mkiwior),2024-08-05,1
Tadeusz Filas (ewelina30),2023-03-25,2
Tadeusz Fitrzyk (ochalmaurycy),2024-08-15,1
Tadeusz Frączkiewicz (rmojsa),2021-08-08,4
Tadeusz Furgał (kobzabianka),2024-03-31,1
Tadeusz Furgał (konrad331),2024-08-14,1
Tadeusz Gabryel (kwapisiewiczlidia),2023-09-21,2
Tadeusz Gawliczek (ignacy941),2021-11-08,4
Tadeusz Gęca (taraseknela),2023-05-27,2
Tadeusz Gierach (drozdzalmaksymilian),2024-06-20,1
Tadeusz Gierek (dawidkusa),2023-10-21,2
Tadeusz Gilewicz (lepkamaks),2024-08-09,1
Tadeusz Gleba (marcel55),2020-11-29,5
Tadeusz Glonek (stefanpancerz),2023-07-17,2
Tadeusz Gładka (kamil391),2024-03-17,1
Tadeusz Gogacz (kmakartur),2024-05-10,1
Tadeusz Gogół (michal12),2024-02-25,1
Tadeusz Golonko (marcelkobza),2024-03-13,1
Tadeusz Gonsior (lewekkrystyna),2023-03-11,2
Tadeusz Goska (ssarniak),2024-03-19,1
Tadeusz Graboś (zgolawiktor2),2022-10-04,3
Tadeusz Gronkiewicz (jzadka),2024-02-25,1
Tadeusz Groth (piotr841),2021-03-03,4
Tadeusz Gruchot (artur83),2024-05-03,1
Tadeusz Grund (janinabartkowicz),2023-09-27,2
Tadeusz Grupa (julianna382),2021-03-28,4
Tadeusz Gruszczyk (jacek46),2023-05-20,2
Tadeusz Grygorowicz (ciecioramaksymilian1),2024-08-21,1
Tadeusz Grzenia (okabala),2022-06-10,3
Tadeusz Hajdukiewicz (grebowiecmikolaj),2020-12-27,4
Tadeusz Halama (kacper24),2021-02-05,4
Tadeusz Hamrol (roza552),2021-11-11,4
Tadeusz Hapka (ngorzelanczyk),2022-07-17,3
Tadeusz Hein (blankawojs),2021-08-22,4
Tadeusz Heleniak (wojciech862),2021-05-22,4
Tadeusz Hnat (milosz06),2020-12-20,4
Tadeusz Hojda (swelenc),2021-09-08,4
Tadeusz Huczek (nikodemniemira),2023-10-30,2
Tadeusz Idec (nieszporekmieszko),2023-08-08,2
Tadeusz Idzi (jbyzdra),2022-09-16,3
Tadeusz Irzyk (rajdamichal),2024-06-24,1
Tadeusz Iwańczyk (kornelmazan),2022-12-04,3
Tadeusz Jakóbik (ruszczakaniela),2021-06-13,4
Tadeusz Janczura (mbabol),2021-10-02,4
Tadeusz Janduła (dcierpisz),2022-04-08,3
Tadeusz Jargiło (foltarozalia),2023-09-29,2
Tadeusz Jerzyk (bklisz),2022-02-24,3
Tadeusz Jessa (nicolekorkosz),2021-03-18,4
Tadeusz Jędruszczak (gwawrzynkiewicz),2024-08-16,1
Tadeusz Jędruszczak (makoszmichal),2021-02-19,4
Tadeusz Jodko (dziwakpawel),2024-11-11,1
Tadeusz Jodko (jozefkoniecko),2023-02-10,2
Tadeusz Juras (fwaclawczyk),2021-08-15,4
Tadeusz Juszczuk (mariuszwojtanowicz),2021-09-10,4
Tadeusz Kafel (kudelakazimierz),2021-02-11,4
Tadeusz Kajstura (oluckiewicz),2022-09-19,3
Tadeusz Kandziora (dydakdamian),2022-02-05,3
Tadeusz Kansy (adrianswatek),2021-08-05,4
Tadeusz Kapuścik (ciasteksylwia),2023-08-17,2
Tadeusz Karkut (walencikrozalia),2021-02-17,4
Tadeusz Karmelita (mieszkosemik),2024-02-22,1
Tadeusz Karwala (maciej112),2024-10-11,1
Tadeusz Kasper (pycjulianna),2024-07-12,1
Tadeusz Kasznia (dariuszgetka),2024-10-18,1
Tadeusz Kiełbik (vpawliczek),2023-10-17,2
Tadeusz Kierepka (mazekalbert),2021-04-12,4
Tadeusz Kieszek (klarahabdas),2020-11-22,5
Tadeusz Klaja (ewiak1),2021-02-20,4
Tadeusz Knych (olga30),2024-07-24,1
Tadeusz Kocoł (maksymilian32),2023-08-05,2
Tadeusz Kolanko (arzeszutko),2023-01-18,2
Tadeusz Kolek (danielsus),2022-11-24,3
Tadeusz Koman (hlesisz),2024-06-27,1
Tadeusz Komsta (mwolodzko),2022-07-12,3
Tadeusz Kopała (pawelkopciuch),2024-04-12,1
Tadeusz Kopiczko (szymochakajetan),2023-10-25,2
Tadeusz Korbel (qfaryna),2024-05-29,1
Tadeusz Kornak (malaramilosz),2024-09-13,1
Tadeusz Kornek (brunomorek),2021-07-19,4
Tadeusz Koronkiewicz (leon431),2022-10-13,3
Tadeusz Kosz (dominikcofala),2024-09-09,1
Tadeusz Kościelak (umadejczyk),2023-09-08,2
Tadeusz Kozdrój (ignacybosek),2024-09-10,1
Tadeusz Kozłowicz (kieszekanita),2023-06-22,2
Tadeusz Kozubal (dyjajulian),2023-06-17,2
Tadeusz Kozubal (hkajdas),2023-06-19,2
Tadeusz Kożuszek (aurelia181),2022-02-16,3
Tadeusz Krakowczyk (stefanmuniak),2023-05-03,2
Tadeusz Krefta (charaburda),2022-03-21,3
Tadeusz Kręcisz (pknysak),2021-06-13,4
Tadeusz Kryk (gkozon),2023-05-22,2
Tadeusz Kryza (handkenicole),2023-10-27,2
Tadeusz Krzysiek (stawczykdaniel),2022-05-19,3
Tadeusz Krzyżostaniak (usularz),2022-06-12,3
Tadeusz Kubów (xmadziar),2023-01-04,2
Tadeusz Kudra (soniamierzwiak),2024-04-13,1
Tadeusz Kukawka (pierchalajanina),2022-06-01,3
Tadeusz Kulisz (maurycy84),2021-11-05,4
Tadeusz Kumorek (oskar74),2020-12-22,4
Tadeusz Kunda (leonard502),2024-03-17,1
Tadeusz Kunda (urszula02),2024-10-25,1
Tadeusz Kupaj (esmoter),2024-06-20,1
Tadeusz Kus (jerzygemza),2023-12-13,1
Tadeusz Kuśmider (omzyk),2022-11-29,3
Tadeusz Kut (cyprianpochopien),2023-01-18,2
Tadeusz Lamch (rzeszutdaniel),2024-09-18,1
Tadeusz Langa (marcelsporysz),2021-03-31,4
Tadeusz Latko (chomiakaniela),2024-03-02,1
Tadeusz Lazarek (antonibabij),2024-09-13,1
Tadeusz Lemiesz (jakub44),2022-11-05,3
Tadeusz Lemke (alexwolk),2021-08-03,4
Tadeusz Leoniak (eholeksa),2023-08-13,2
Tadeusz Leszczak (sopalach),2021-11-03,4
Tadeusz Lipowicz (vgieron),2024-11-11,1
Tadeusz Lisik (bruno663),2022-04-17,3
Tadeusz Lorenz (enarozna1),2024-04-13,1
Tadeusz Luks (emil461),2021-12-16,3
Tadeusz Luks (rhirsch),2024-01-17,1
Tadeusz Łapot (tpietras),2023-12-20,1
Tadeusz Łukasiuk (gaja83),2023-09-23,2
Tadeusz Łyjak (daniel951),2022-05-23,3
Tadeusz Macek (nataszakara),2024-06-16,1
Tadeusz Maćków (maciejjaniuk),2024-03-04,1
Tadeusz Mainka (xfurgala),2020-12-23,4
Tadeusz Majos (lgras),2024-02-13,1
Tadeusz Majtyka (cezarygrzebyk),2021-03-18,4
Tadeusz Maleszka (artur443),2021-07-01,4
Tadeusz Marcol (marastadeusz),2021-06-21,4
Tadeusz Mateusiak (tymoteusz372),2021-07-02,4
Tadeusz Mazanek (xdulemba1),2023-01-16,2
Tadeusz Mądrzyk (wdrabczyk),2022-01-22,3
Tadeusz Milczarczyk (emildorobisz),2023-12-26,1
Tadeusz Miotke (lempartaleks),2020-12-09,5
Tadeusz Misztela (wojakmikolaj),2023-05-11,2
Tadeusz Miśkowiec (blazej443),2021-02-13,4
Tadeusz Monkiewicz (lukasz862),2022-04-06,3
